"","Contextual Precision","Contextual Recall","Contextual Relevancy","Answer Relevancy","Faithfulness"
"0","1.000000","0.923077","0.606061","1.000000","1.000000"
"1","1.000000","0.714286","0.400000","0.928571","0.933333"
"2","1.000000","0.380952","0.403509","0.685714","0.909091"
"3","1.000000","0.705882","0.413793","0.974359","0.944444"
"4","1.000000","0.392857","0.512821","1.000000","1.000000"
"5","0.833333","0.562500","0.523810","0.466667","1.000000"
"6","0.833333","1.000000","0.612903","0.805556","0.900000"
"7","1.000000","0.692308","0.769231","0.736842","0.777778"
"8","1.000000","0.777778","0.741935","0.977778","0.928571"
"9","0.000000","0.590909","0.744186","0.826087","0.769231"
"10","1.000000","1.000000","0.666667","1.000000","1.000000"
"11","1.000000","0.500000","0.875000","1.000000","1.000000"
"12","1.000000","0.607143","0.483871","0.755556","1.000000"
"13","1.000000","0.550000","0.702703","1.000000","0.888889"
"14","0.833333","0.916667","0.666667","1.000000","1.000000"
"15","1.000000","0.500000","0.885714","1.000000","1.000000"
"16","0.833333","0.944444","0.774194","1.000000","1.000000"
"17","0.833333","0.619048","0.428571","0.828571","1.000000"
"18","1.000000","0.611111","0.847826","0.826087","1.000000"
"19","1.000000","0.687500","0.625000","1.000000","0.928571"
"20","1.000000","0.666667","0.428571","0.851852","0.875000"
"21","1.000000","0.750000","0.729730","0.934783","1.000000"
"22","1.000000","0.714286","0.933333","0.709677","0.916667"
"23","1.000000","0.583333","0.200000","1.000000","1.000000"
"24","1.000000","0.866667","0.595238","0.871795","0.888889"
"25","0.833333","0.681818","0.740741","0.914286","1.000000"
"26","0.833333","0.583333","0.675000","0.969697","1.000000"
"27","1.000000","0.384615","0.533333","1.000000","1.000000"
"28","0.833333","0.300000","0.642857","0.827586","1.000000"
"29","1.000000","0.500000","0.230769","0.000000","0.916667"
"30","1.000000","0.655172","0.781250","1.000000","1.000000"
"31","1.000000","0.875000","0.560976","0.944444","1.000000"
"32","0.833333","0.333333","0.482759","0.851852","1.000000"
"33","0.833333","0.478261","0.593750","0.629630","0.928571"
"34","1.000000","0.916667","0.142857","0.676471","1.000000"
"35","0.000000","0.210526","0.436364","0.916667","1.000000"
"36","0.500000","0.476190","0.593750","1.000000","1.000000"
"37","0.500000","0.520000","0.647059","0.909091","1.000000"
"38","0.000000","0.047619","0.411765","1.000000","1.000000"
"39","0.833333","0.875000","0.571429","0.961538","0.923077"
"40","1.000000","0.826087","0.859649","0.925926","0.846154"
"41","1.000000","0.750000","0.520000","1.000000","1.000000"
"42","0.500000","0.117647","0.311111","1.000000","1.000000"
"43","1.000000","1.000000","0.842105","1.000000","0.928571"
"44","0.333333","0.416667","0.575758","1.000000","0.916667"
"45","0.500000","0.600000","0.588235","0.833333","0.928571"
"46","0.500000","0.736842","0.793103","0.760870","1.000000"
"47","1.000000","0.666667","0.787879","1.000000","1.000000"
"48","1.000000","0.956522","0.730769","0.733333","1.000000"
"49","1.000000","1.000000","0.909091","0.777778","0.937500"